node,gene,log2FC,pVal,FDR
4,Ndufb3,-1.2372108271410873,0.0,2.3870906139597062e-6
4,Sumo1,-1.4861673408616867,0.0,2.3870906139597062e-6
4,Abi2,-1.4767248592816344,0.0,2.3870906139597062e-6
4,Eef1b2,-0.9096982139860922,0.0,2.3870906139597062e-6
4,Idh1,-2.4229712478540533,0.0,2.3870906139597062e-6
4,Map2,-5.106288951603917,0.0,2.3870906139597062e-6
4,Lancl1,-0.4139652400980818,0.0,2.3870906139597062e-6
4,Mreg,6.1667852939117465,0.0,2.3870906139597062e-6
4,Rpl37a,-0.7108405349092177,0.0,2.3870906139597062e-6
4,Igfbp2,-1.9675669269798413,0.0,2.3870906139597062e-6
4,Arpc2,-0.5824754718149474,0.0,2.3870906139597062e-6
4,Stk16,-1.127944040637429,0.0,2.3870906139597062e-6
4,Dnpep,-1.1887678473409575,0.0,2.3870906139597062e-6
4,Tmem198,-Infinity,0.0,2.3870906139597062e-6
4,Epha4,-3.349821604647768,0.0,2.3870906139597062e-6
4,Farsb,-1.6406242612803374,0.0,2.3870906139597062e-6
4,Cul3,-0.9767560579357385,0.0,2.3870906139597062e-6
4,Mff,-1.7359740447995486,0.0,2.3870906139597062e-6
4,Dner,-5.996780526424389,0.0,2.3870906139597062e-6
4,Psmd1,-1.2838778704571268,0.0,2.3870906139597062e-6
4,Ptma,-1.048306195158732,0.0,2.3870906139597062e-6
4,Cops8,-1.3166151264194388,0.0,2.3870906139597062e-6
4,Ilkap,-1.024637890719643,0.0,2.3870906139597062e-6
4,Hes6,-0.1395617436993887,0.0,2.3870906139597062e-6
4,Ndufa10,-1.330522977337269,0.0,2.3870906139597062e-6
4,Cops9,-1.7090537152688363,0.0,2.3870906139597062e-6
4,Kif1a,-6.2695900833247835,0.0,2.3870906139597062e-6
4,Stk25,-0.9785590598354152,0.0,2.3870906139597062e-6
4,Tsn,-1.6700011454297334,0.0,2.3870906139597062e-6
4,Clasp1,-1.2057859649562415,0.0,2.3870906139597062e-6
4,Actr3,-0.8707030359615812,0.0,2.3870906139597062e-6
4,Cntn2,-7.304777734726001,0.0,2.3870906139597062e-6
4,Nfasc,-5.070819394580297,0.0,2.3870906139597062e-6
4,Lrrn2,-4.475885811037603,0.0,2.3870906139597062e-6
4,Snrpe,-1.3346355843224593,0.0,2.3870906139597062e-6
4,Btg2,1.642988231622227,0.0,2.3870906139597062e-6
4,Tmem183a,-1.6644977669922034,0.0,2.3870906139597062e-6
4,Kdm5b,-1.178727512611399,0.0,2.3870906139597062e-6
4,Arl8a,-2.667392717995634,0.0,2.3870906139597062e-6
4,Shisa4,-2.0365936421856823,0.0,2.3870906139597062e-6
4,Nav1,-1.0636363297902158,0.0,2.3870906139597062e-6
4,Kif21b,-1.840306333971994,0.0,2.3870906139597062e-6
4,Ptprc,0.9640882814691876,0.0,2.3870906139597062e-6
4,Glrx2,-1.9435769054621144,0.0,2.3870906139597062e-6
4,Arpc5,-0.9775134766044457,0.0,2.3870906139597062e-6
4,Acbd6,-1.3484563966837328,0.0,2.3870906139597062e-6
4,Astn1,-4.415093157736084,0.0,2.3870906139597062e-6
4,Cop1,-1.2399305130151341,0.0,2.3870906139597062e-6
